,Ticker,CompanyName,Sector,SubIndustry,HQLocation,DateFirstAdded,CIK,FoundedYear,QuoteURL,WikiPage,HQLocationWikiPage,SectorId,Sector,IndustryGroupId,IndustryGroup,IndustryId,Industry,SubIndustryId,SubIndustry,SubIndustryDescription
0,MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1957-03-04,0000066740,1902,https://www.nyse.com/quote/XNYS:MMM,/wiki/3M,"/wiki/Saint_Paul,_Minnesota",20,Materials,1510,Materials,201050,Industrial Conglomerates,20105010,Industrial Conglomerates,"Diversified industrial companies with business activities in three or more sectors, none of which contributes a majority of revenues. Stakes held are predominantly of a controlling nature and stake holders maintain an operational interest in the running of the subsidiaries."
1,AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,0000091142,1916,https://www.nyse.com/quote/XNYS:AOS,/wiki/A._O._Smith,"/wiki/Milwaukee,_Wisconsin",20,Industrials,2010,Capital Goods,201020,Building Products,20102010,Building Products,Manufacturers of building components and home improvement products and equipment. Excludes lumber and plywood classified under Forest Products and cement and other materials classified in the Construction Materials Sub-Industry.
2,ABT,Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,0000001800,1888,https://www.nyse.com/quote/XNYS:ABT,/wiki/Abbott_Laboratories,"/wiki/North_Chicago,_Illinois",35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101010,Health Care Equipment,"Manufacturers of health care equipment and devices. Includes medical instruments, drug delivery systems, cardiovascular & orthopedic devices, and diagnostic equipment."
3,ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,0001551152,2013 (1888),https://www.nyse.com/quote/XNYS:ABBV,/wiki/AbbVie,"/wiki/North_Chicago,_Illinois",35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352010,Biotechnology,35201010,Biotechnology,"Companies primarily engaged in the research, development, manufacturing and/or marketing of products based on genetic analysis and genetic engineering.  Includes companies specializing in protein-based therapeutics to treat human diseases. Excludes companies manufacturing products using biotechnology but without a health care application."
4,ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,0001467373,1989,https://www.nyse.com/quote/XNYS:ACN,/wiki/Accenture,"/wiki/Dublin,_Ireland",45,Information Technology,4510,Software & Services,451020,IT Services,45102010,IT Consulting & Other Services,Providers of information technology and systems integration services not classified in the Data Processing & Outsourced Services or Internet Software & Services Sub-Industries. Includes information technology consulting and information management services.
5,ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,0000796343,1982,https://www.nasdaq.com/market-activity/stocks/adbe,/wiki/Adobe_Inc.,"/wiki/San_Jose,_California",45,Information Technology,4510,Software & Services,451030,Software,45103010,Application Software,"Companies engaged in developing and producing software designed for specialized applications for the business or consumer market. Includes enterprise and technical software, as well as cloud-based software. Excludes companies classified in the Interactive Home Entertainment Sub-Industry. Also excludes companies producing systems or database management software classified in the Systems Software Sub-Industry."
6,AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,0000002488,1969,https://www.nasdaq.com/market-activity/stocks/amd,/wiki/AMD,"/wiki/Santa_Clara,_California",45,Information Technology,4530,Semiconductors & Semiconductor Equipment,453010,Semiconductors & Semiconductor Equipment,45301020,Semiconductors,"Manufacturers of semiconductors and related products, including manufacturers of solar modules and cells."
7,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,0000874761,1981,https://www.nyse.com/quote/XNYS:AES,/wiki/AES_Corporation,"/wiki/Arlington,_Virginia",55,Utilities,5510,Utilities,551050,Independent Power and Renewable Electricity Producers,55105010,Independent Power Producers & Energy Traders,"Companies that operate as Independent Power Producers (IPPs), Gas & Power Marketing & Trading Specialists and/or Integrated Energy Merchants. Excludes producers of electricity using renewable sources, such as solar power, hydropower, and wind power. Also excludes electric transmission companies and utility distribution companies classified in the Electric Utilities Sub-Industry."
8,AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,0000004977,1955,https://www.nyse.com/quote/XNYS:AFL,/wiki/Aflac,"/wiki/Columbus,_Georgia",40,Financials,4030,Insurance,403010,Insurance,40301020,Life & Health Insurance,"Companies providing primarily life, disability, indemnity or supplemental health insurance. Excludes managed care companies classified in the Managed Health Care Sub-Industry."
9,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,0001090872,1999,https://www.nyse.com/quote/XNYS:A,/wiki/Agilent_Technologies,"/wiki/Santa_Clara,_California",35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352030,Life Sciences Tools & Services,35203010,Life Sciences Tools & Services,"Companies enabling the drug discovery, development and production continuum by providing analytical tools, instruments, consumables & supplies, clinical trial services and contract research services. Includes firms primarily servicing the pharmaceutical and biotechnology industries."
10,APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,0000002969,1940,https://www.nyse.com/quote/XNYS:APD,/wiki/Air_Products_and_Chemicals,"/wiki/Allentown,_Pennsylvania",15,Materials,1510,Materials,151010,Chemicals,15101040,Industrial Gases,Manufacturers of industrial gases.
11,ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,0001559720,2008,https://www.nasdaq.com/market-activity/stocks/abnb,/wiki/Airbnb,"/wiki/San_Francisco,_California",25,Consumer Discretionary,2530,Consumer Services,253010,"Hotels, Restaurants & Leisure",25301020,"Hotels, Resorts & Cruise Lines","Owners and operators of hotels, resorts and cruise-ships. Includes travel agencies, tour operators and related services not classified elsewhere . Excludes casino-hotels classified in the Casinos & Gaming Sub-Industry."
12,AKAM,Akamai,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,0001086222,1998,https://www.nasdaq.com/market-activity/stocks/akam,/wiki/Akamai,"/wiki/Cambridge,_Massachusetts",45,Information Technology,4510,Software & Services,451020,IT Services,45102030,Internet Services & Infrastructure,Companies providing services and infrastructure for the internet industry including data centers and cloud networking and storage infrastructure. Also includes companies providing web hosting services. Excludes companies classified in the Software Industry.
13,ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,0000915913,1994,https://www.nyse.com/quote/XNYS:ALB,/wiki/Albemarle_Corporation,"/wiki/Charlotte,_North_Carolina",15,Materials,1510,Materials,151010,Chemicals,15101050,Specialty Chemicals,"Companies that primarily produce high value-added chemicals used in the manufacture of a wide variety of products, including but not limited to fine chemicals, additives, advanced polymers, adhesives, sealants and specialty paints, pigments and coatings."
14,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,0001035443,1994,https://www.nyse.com/quote/XNYS:ARE,/wiki/Alexandria_Real_Estate_Equities,"/wiki/Pasadena,_California",60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs),601040,Office REITs,60104010,Office REITs,"Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of office properties."
15,ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,0001097149,1997,https://www.nasdaq.com/market-activity/stocks/algn,/wiki/Align_Technology,"/wiki/Tempe,_Arizona",35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101020,Health Care Supplies,"Manufacturers of health care supplies and medical products not classified elsewhere. Includes eye care products, hospital supplies, and safety needle & syringe devices."
16,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,0001579241,1908,https://www.nyse.com/quote/XNYS:ALLE,/wiki/Allegion,"/wiki/Dublin,_Ireland",20,Industrials,2010,Capital Goods,201020,Building Products,20102010,Building Products,Manufacturers of building components and home improvement products and equipment. Excludes lumber and plywood classified under Forest Products and cement and other materials classified in the Construction Materials Sub-Industry.
17,LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,0000352541,1917,https://www.nasdaq.com/market-activity/stocks/lnt,/wiki/Alliant_Energy,"/wiki/Madison,_Wisconsin",55,Utilities,5510,Utilities,551010,Electric Utilities,55101010,Electric Utilities,Companies that produce or distribute electricity. Includes both nuclear and non-nuclear facilities.
18,ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,0000899051,1931,https://www.nyse.com/quote/XNYS:ALL,/wiki/Allstate,"/wiki/Northbrook,_Illinois",40,Financials,4030,Insurance,403010,Insurance,40301040,Property & Casualty Insurance,Companies providing primarily property and casualty insurance.
19,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,0001652044,1998,https://www.nasdaq.com/market-activity/stocks/googl,/wiki/Alphabet_Inc.,"/wiki/Mountain_View,_California",50,Communication Services,5020,Media & Entertainment,502030,Interactive Media & Services,50203010,Interactive Media & Services,"Companies engaging in content and information creation or distribution through proprietary platforms, where revenues are derived primarily through pay-per-click advertisements. Includes search engines, social media and networking platforms, online classifieds, and online review companies."
